,block,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,lon,lat
68,060750326021,2002-04-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.48552,37.760395
69,060750312022,2002-04-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.45133,37.717674
70,060750169001,2002-03-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.432396,37.768394
71,060750119012,2002-02-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41292,37.78964
72,060750162001,2002-01-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42376,37.77679
73,060750326021,2001-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.48457,37.762306
74,060750124012,2001-11-15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.41511,37.78171
75,060750264011,2001-10-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41134,37.713017
76,060750207003,2001-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.42319,37.755573
77,060750354004,2001-06-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.50303,37.741844
78,060750208003,2001-05-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42074,37.75693
79,060750166001,2001-04-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.44138,37.77168
80,060750104003,2000-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.40535,37.803734
81,060750303021,2000-11-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.47441,37.755272
82,060750252002,2000-10-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41038,37.74404
83,060750328022,2000-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.47843,37.751354
84,060750215001,2000-06-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42355,37.74711
85,060750314004,2000-06-09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.46081,37.713165
86,060750329013,2000-06-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.49305,37.7451
87,060750233001,2000-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.39449,37.72846
88,060750261002,2000-04-28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.443016,37.714252
89,060750176015,2000-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40698,37.78074
90,060750228011,2000-03-28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41555,37.76207
91,060750109003,2000-02-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42399,37.799038
92,060750479012,2000-02-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.507835,37.77243
93,060750326011,2000-01-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47827,37.76446
94,060750153002,1999-12-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.44164,37.785507
95,060750329012,1999-12-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.49318,37.74696
96,060750109002,1999-12-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.4169,37.79683
97,060750117001,1999-10-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.40324,37.79182
98,060750102002,1999-07-22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42364,37.800514
99,060750169001,1999-06-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.430176,37.76853
100,060750201003,1999-04-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41774,37.76761
101,060750134003,1999-03-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.44513,37.790226
102,060750119021,1999-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.40962,37.790062
103,060750203003,1999-01-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.428894,37.766823
104,060750213002,1998-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.444115,37.748398
105,060750210004,1998-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.42364,37.74791
106,060750164001,1998-10-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.43513,37.77438
107,060750478023,1998-07-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.497536,37.778545
108,060750477023,1998-07-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.48641,37.77341
109,060750261004,1998-06-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-122.44298,37.72192
110,060750209001,1998-06-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41695,37.750725
111,060750254032,1998-06-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41726,37.733917
112,060750211002,1998-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42756,37.752876
113,060750201003,1997-12-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.418495,37.767563
114,060750108001,1997-11-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41549,37.79822
115,060750108001,1997-11-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41549,37.79822
116,060750130004,1997-09-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.43377,37.796837
117,060750171023,1997-04-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.45069,37.765713
118,060750157001,1997-04-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.44146,37.781765
119,060750176013,2012-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-122.41359,37.77957
120,060750209001,2019-02-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122.41758,37.754704
121,060750130003,2015-07-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.43119,37.79668
122,060750125012,2020-04-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40984,37.783333
123,060750351003,2012-09-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.49836,37.759823
124,060750229012,2011-01-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-122.41292,37.75177
125,060750103001,2011-02-14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.415695,37.803444
126,060750615001,2020-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40164,37.78655
127,060750117002,2021-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40618,37.78953
128,060750264022,2014-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.39992,37.71703
129,060750177002,2011-04-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.416466,37.76606
130,060750332032,2011-07-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.48063,37.717464
131,060750313021,2017-02-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.46305,37.714306
132,060750111001,2016-11-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41817,37.79275
133,060750332032,2016-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122.48063,37.717464
134,060750215001,2016-12-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.422485,37.74759
135,060750121002,2012-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.411255,37.789845
136,060750311005,2014-12-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-122.44545,37.73234
137,060750127002,2013-05-17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4459,37.802456
138,060750132002,2019-02-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.43465,37.792908
139,060750107002,2015-10-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.41055,37.79884
140,060750161002,2018-07-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.431145,37.777756
141,060750452001,2012-12-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.46742,37.77991
142,060750204021,2015-07-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4443,37.75363
